Date,Campaign name,Ad group name,Spend in account currency,Impressions,Reach,Outbound clicks,Saves,Engagements,Total conversions (Checkout),Total order value (Checkout)
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.12,22,20,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.24,58,55,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.15,21,19,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.09,11,11,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.86,38,36,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.14,32,27,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.29,19,17,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.18,12,10,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.18,39,34,1,0,1,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.05,8,8,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,2.81,258,227,4,0,4,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.04,8,8,0,0,0,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.78,74,62,2,0,2,0,0
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.09,8,6,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,1.32,299,285,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.49,116,115,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.15,39,40,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.15,35,35,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,1.10,284,244,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,4.02,648,608,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.42,88,87,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.88,217,202,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.26,59,55,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.73,170,155,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.28,57,55,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,4.81,1209,1042,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.19,46,45,0,0,0,0,0
